id,numero_empleado,fecha,dia_semana,horas_trabajadas,horas_incidencia,presente,fecha_creacion
5437,590,2025-10-20,VIE,8,0,true,2025-11-01T21:03:47.104679+00:00
5438,590,2025-10-21,SAB,8,0,true,2025-11-01T21:03:47.104679+00:00
5439,590,2025-10-22,DOM,8,0,true,2025-11-01T21:03:47.104679+00:00
5440,591,2025-10-16,LUN,8,0,true,2025-11-01T21:03:47.104679+00:00
5441,591,2025-10-17,MAR,8,0,true,2025-11-01T21:03:47.104679+00:00
5442,591,2025-10-18,MIE,5,0,true,2025-11-01T21:03:47.104679+00:00
5443,591,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
5444,591,2025-10-20,VIE,8,0,true,2025-11-01T21:03:47.104679+00:00
5445,591,2025-10-21,SAB,8,0,true,2025-11-01T21:03:47.104679+00:00
5446,591,2025-10-22,DOM,8,0,true,2025-11-01T21:03:47.104679+00:00
5447,622,2025-10-16,LUN,9,0,true,2025-11-01T21:03:47.104679+00:00
5448,622,2025-10-17,MAR,9,0,true,2025-11-01T21:03:47.104679+00:00
5449,622,2025-10-18,MIE,0,0,true,2025-11-01T21:03:47.104679+00:00
5450,622,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
5451,622,2025-10-20,VIE,9,0,true,2025-11-01T21:03:47.104679+00:00
5452,622,2025-10-21,SAB,9,0,true,2025-11-01T21:03:47.104679+00:00
5453,622,2025-10-22,DOM,9,0,true,2025-11-01T21:03:47.104679+00:00
5454,630,2025-10-16,LUN,8,0,true,2025-11-01T21:03:47.104679+00:00
5455,630,2025-10-17,MAR,8,0,true,2025-11-01T21:03:47.104679+00:00
5456,630,2025-10-18,MIE,5,0,true,2025-11-01T21:03:47.104679+00:00
5457,630,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
5458,630,2025-10-20,VIE,8,0,true,2025-11-01T21:03:47.104679+00:00
5459,630,2025-10-21,SAB,8,0,true,2025-11-01T21:03:47.104679+00:00
5460,630,2025-10-22,DOM,8,0,true,2025-11-01T21:03:47.104679+00:00
5461,685,2025-10-16,LUN,8,0,true,2025-11-01T21:03:47.104679+00:00
5462,685,2025-10-17,MAR,8,0,true,2025-11-01T21:03:47.104679+00:00
5463,685,2025-10-18,MIE,5,0,true,2025-11-01T21:03:47.104679+00:00
5464,685,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
5465,685,2025-10-20,VIE,8,0,true,2025-11-01T21:03:47.104679+00:00
5466,685,2025-10-21,SAB,8,0,true,2025-11-01T21:03:47.104679+00:00
5467,685,2025-10-22,DOM,8,0,true,2025-11-01T21:03:47.104679+00:00
5468,689,2025-10-16,LUN,9,0,true,2025-11-01T21:03:47.104679+00:00
5469,689,2025-10-17,MAR,9,0,true,2025-11-01T21:03:47.104679+00:00
5470,689,2025-10-18,MIE,8,0,true,2025-11-01T21:03:47.104679+00:00
5471,689,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
5472,689,2025-10-20,VIE,9,0,true,2025-11-01T21:03:47.104679+00:00
5473,689,2025-10-21,SAB,9,0,true,2025-11-01T21:03:47.104679+00:00
5474,689,2025-10-22,DOM,0,0,true,2025-11-01T21:03:47.104679+00:00
5475,692,2025-10-16,LUN,8,0,true,2025-11-01T21:03:47.104679+00:00
5476,692,2025-10-17,MAR,8,0,true,2025-11-01T21:03:47.104679+00:00
5477,692,2025-10-18,MIE,5,0,true,2025-11-01T21:03:47.104679+00:00
5478,692,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
5479,692,2025-10-20,VIE,8,0,true,2025-11-01T21:03:47.104679+00:00
5480,692,2025-10-21,SAB,8,0,true,2025-11-01T21:03:47.104679+00:00
5481,692,2025-10-22,DOM,8,0,true,2025-11-01T21:03:47.104679+00:00
5482,693,2025-10-16,LUN,0,0,true,2025-11-01T21:03:47.104679+00:00
5483,693,2025-10-17,MAR,8,0,true,2025-11-01T21:03:47.104679+00:00
5484,693,2025-10-18,MIE,5,0,true,2025-11-01T21:03:47.104679+00:00
5485,693,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
5486,693,2025-10-20,VIE,8,0,true,2025-11-01T21:03:47.104679+00:00
5487,693,2025-10-21,SAB,8,0,true,2025-11-01T21:03:47.104679+00:00
5488,693,2025-10-22,DOM,8,0,true,2025-11-01T21:03:47.104679+00:00
5489,712,2025-10-16,LUN,9,0,true,2025-11-01T21:03:47.104679+00:00
5490,712,2025-10-17,MAR,9,0,true,2025-11-01T21:03:47.104679+00:00
5491,712,2025-10-18,MIE,0,0,true,2025-11-01T21:03:47.104679+00:00
5492,712,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
5493,712,2025-10-20,VIE,9,0,true,2025-11-01T21:03:47.104679+00:00
5494,712,2025-10-21,SAB,9,0,true,2025-11-01T21:03:47.104679+00:00
5495,712,2025-10-22,DOM,9,0,true,2025-11-01T21:03:47.104679+00:00
5496,719,2025-10-16,LUN,9,0,true,2025-11-01T21:03:47.104679+00:00
5497,719,2025-10-17,MAR,9,0,true,2025-11-01T21:03:47.104679+00:00
5498,719,2025-10-18,MIE,8,0,true,2025-11-01T21:03:47.104679+00:00
5499,719,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
5500,719,2025-10-20,VIE,9,0,true,2025-11-01T21:03:47.104679+00:00
5501,719,2025-10-21,SAB,9,0,true,2025-11-01T21:03:47.104679+00:00
5502,719,2025-10-22,DOM,9,0,true,2025-11-01T21:03:47.104679+00:00
5503,766,2025-10-16,LUN,8,0,true,2025-11-01T21:03:47.104679+00:00
5504,766,2025-10-17,MAR,8,0,true,2025-11-01T21:03:47.104679+00:00
5505,766,2025-10-18,MIE,5,0,true,2025-11-01T21:03:47.104679+00:00
5506,766,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
5507,766,2025-10-20,VIE,8,0,true,2025-11-01T21:03:47.104679+00:00
5508,766,2025-10-21,SAB,8,0,true,2025-11-01T21:03:47.104679+00:00
5509,766,2025-10-22,DOM,8,0,true,2025-11-01T21:03:47.104679+00:00
5510,776,2025-10-16,LUN,8,0,true,2025-11-01T21:03:47.104679+00:00
5511,776,2025-10-17,MAR,8,0,true,2025-11-01T21:03:47.104679+00:00
5512,776,2025-10-18,MIE,5,0,true,2025-11-01T21:03:47.104679+00:00
5513,776,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
5514,776,2025-10-20,VIE,8,0,true,2025-11-01T21:03:47.104679+00:00
5515,776,2025-10-21,SAB,8,0,true,2025-11-01T21:03:47.104679+00:00
5516,776,2025-10-22,DOM,8,0,true,2025-11-01T21:03:47.104679+00:00
5517,921,2025-10-16,LUN,9,0,true,2025-11-01T21:03:47.104679+00:00
5518,921,2025-10-17,MAR,9,0,true,2025-11-01T21:03:47.104679+00:00
5519,921,2025-10-18,MIE,8,0,true,2025-11-01T21:03:47.104679+00:00
5520,921,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
5521,921,2025-10-20,VIE,9,0,true,2025-11-01T21:03:47.104679+00:00
